Peak,Route Name,State,Location,Summit Elevation,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,,,
Mt. Angeles,Hurricane/Klahhane Ridge,Washington,- Olympic Range,6545,A,1200,240,5.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"Mount Angeles has several summits, of which the westernmost is the highest. This is a craggy peak with many routes to the top, but none of them is a walk-up. Moreover the rock is seriously loose in the big gullies. The easiest paths are scrambles, but only if you are a competent route finder through difficult terrain. ",75 Scrambles in Washington by Peggy Goldman,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Mt.+Angeles+WA&sll=47.721196,-123.331575&sspn=0.017727,0.045233&g=mt+anderson+WA&ie=UTF8&t=p&z=15&iwloc=addr",none,http://www.summitpost.org/mountain/rock/151878/mount-angeles.html
Mt. Ararat and Mt. Satulick,Kautz Creek,Washington,Mt. Rainier Nat. Park,6010,A,4400,150,3.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"Mt. Ararat and Mt. Satulick are peaks located on the west side of Mt. Rainier at the edge of Indian Henry's Hunting Ground. From the Kautz Creek trail head, follow the trail northward to approximately 5230', ascend a gully to the south ridge of Ararat, and scramble to the summit. Descend back to the Kautz Creek trail and continue northward to Indian Henry's Hunting Ground. Turn south on the Wonderland Trail and descend to Devil's Dream camp. Follow a bearing to 214 degrees southwest toward Satulick and follow easiest terrain to the summit. Descend Satulick to the Wonderland Trail and descend 6 miles back to the Longmire-Paradise Road. A car shuttle is necessary to return to the Kautz Creek trail head and pick up the car(s) left there.","Guide to 100 Peaks at Mt. Rainier
Cascade Alpine Guide, Vol. 1",,Mt. Rainier National Park: 360-569-2211,
Argonaut Peak,West Ridge or South Route,Washington,,,,,,,,,,,,,,,,,,,
Mt. Arriva,SW Ridge,Washington,Cascades - Central,8215,B,5700,335,7.00,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,No,No,Snow,"The approach starts on WA state route 20 at the Easy Pass Trailhead.  An elevation gain of about 3200 ft in 3 miles is followed by a loss of 1500 ft into the Fisher Creek drainage.  Two miles of off trail hiking, including a steep snow couloir, bring climbers to a bivi site at Silent lakes (elevation 7000) and an elevation gain of another 2000 ft.  A long climb day includes a traverse across the west face of Arriva to the SW ridge and a scramble up the ridge to the summit.  Descend the route.","Fred Beckey,Cascade Alpine Guide: Stevens Pass to Rainy Pass",http://g.co/maps/2wt6y,none,http://www.summitpost.org/mount-arriva/150672
Aurora Peak & Tokaloo Rock,St. Andrew's Lake,Washington,Cascades - South,7684,A,5200,150,3.00,two or more days,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"Located on the west side of Mt. Rainier National Park, Aurora Peak and Tokaloo Rock are two prominent satellite peaks located at the base of the Puyallup Cleaver above St. Andrew's Lake.  Spectacular scenery well away from the crowds elsewhere in the park.",Cascade Alpine Guide: Columbia River to Stevens Pass  by Fred Beckey,,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334",
Austera Peak,Inspiration-McAllister-Klawatti Ice Cap,Washington,Cascades - North,8334,C,6234,310,7.00,two or more days,Summer-Autumn,Yes,4th Class,up to 35 degrees,No,Yes,Snow,"Most of the elevation is gained upon reaching the base of Eldorado Peak which is the starting point for this high glacial traverse. Traversing eastward past an array of crevasses, moats, and rock spires, the route crosses a series of glaciers that form this small ice cap. The place is remote, really the middle of nowhere. Numerous summits and geographic features await exploration along the way to the Austera Towers, of which Austera Peak is the highest and most accessible. This climb is more of a glacier excursion than a traditional ascent, but it is a grand journey across expansive sheets of ice that for the Inspiration, Klawatti, and McAllister Glaciers and is an experience that is unique in the Cascades.","Climbs in the Cascades, Volume I Nelson & Potterfield","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Austera+Peak+WA&sll=37.0625,-95.677068&sspn=42.581364,92.636719&ie=UTF8&ll=48.568855,-121.102166&spn=0.017436,0.045233&t=p&z=15&iwloc=addr",Marblemount NPS Ranger Station 360-873-4590 ,
Bacon Peak,Southwest Route,Washington,Cascades - North,7061,B,3000,290,5.50,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,No,No,Snow and Rock,"Bacon Peak occupies a western salient of North Cascades National Park, located southeast of Baker Lake and due south of Mt. Shuksan. Its massive summit holds 1 1/4 square miles of glaciers. It has a curious rock divider splitting the summit plateau and a huge wind-formed cirque in the summit firn. There's lots to explore once the summit is reached!",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Bacon+Peak+WA&sll=37.0625,-95.677068&sspn=42.495706,93.164063&ie=UTF8&ll=48.662737,-121.52338&spn=0.017376,0.04549&t=p&z=15","Mt. Baker-Snoqualmie National Forest 425/775-9702
North Cascades Natl Park Service Complex Headquarters & Mount Baker R.D. 810 State Route 20, Sedro Wooley, WA 98284 360/856-5700
North Cascades Natl Park Complex Wilderness Info Center, 7280 Ranger Station Road, Marblemount, WA 98267 360/873-4500",
Bailey Range (Olympics),Traverse,Washington,- Olympic Range,,B,17000,325,6.00,two or more days,Summer-Autumn,No,4th Class,up to 35 degrees,No,No,Scrambling,"The Bailey Range traverse is a high and remote cross-country trek of unique and matchless beauty€”it is truly one of the finest high traverses in Washington. At almost all points, the succession of views far down to the forests of the Hoh Valley is echoed by the profile of snowcapped Mount Olympus.   Plan for an extendeed trip (7+days) with modest technical requirements.",Climbers Guide to the Olympic Mountains;75 Scrambles in Washington by Peggy Goldman,,Olympic National Park Hoh ranger station 206-374-6925,
Mt. Baker,North Ridge,Washington,Cascades - North,10788,D,7000,310,8.00,two or more days,Summer-Autumn,Yes,3rd Class,greater than 50 degrees,No,Yes,Snow,"This is one of the classic lines on a classic NW peak.  Expect about 1,000 feet of moderate snow climbing up to about 50 degrees, then comes the fun part -  several pitches of near vertical alpine ice, then a stroll to the summit.  Descent is typically down the Coleman Deming route",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,,Glacier Public Service Center: (360) 599-2714 ,
Mt. Baker,Boulder-Park Cleaver,Washington,Cascades - North,10778,C,7900,300,6.00,two or more days,Summer-Autumn,Yes,3rd Class,up to 35 degrees,Yes,Yes,Snow,"Mt. Baker, named for the cartographer who sighted it for Captain George Vancouver in 1792, is known as €œKoma Lulshan€ù to the Lummi tribe of Puget Sound, meaning broken or damaged.  The peak stands 15 miles south of the Canadian border and is the most northern most of the stratovolcanoes of the Cascade Range.  Mt. Baker is the third highest peak in Washington.","Climbs in the North Cascades, Vol. 2 by Nelson and Potterfield
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey",,Glacier Public Service Center: (360) 599-2714,
Mt. Baker,Coleman Glacier Headwall,Washington,Cascades - North,10781,E,6900,310,8.00,two or more days,Spring-Summer,Yes,none,between 35 and 50 degrees,No,Yes,Snow,"The Coleman Glacier Headwall qualifies as a classic Cascades volcano snow and ice route, on par with the Adams Glacier on Mt. Adams. The headwall is the climax of an impressive glacier system made up of both Coleman and Roosevelt Glaciers. Three and a half miles long, these glaciers run for 6,000 feet from snout to headwall, from just about 4,500 feet elevation to the summit. The ascent is straightforward if long, steep, and subject to the usual problems and hazards endemic to Cascades volcanoes: routefinding through crevasses, changeable snow and ice conditions, and exposure to unpredictable weather. ","Climbs in the Cascades, Volume II. Potterfield/Nelson.",,US Forest Service/National Park Service Ranger Station in Sedro Wooley 360.856.5700 and Glacier Public Service Center in Glacier 360.599.2714.,
Mt. Baker,Park Glacier,Washington,Cascades - North,10788,C,6500,320,7.00,two or more days,Summer-Autumn,Yes,none,between 35 and 50 degrees,No,Yes,Rock,"From Nelson and Potterfield:  ""Off the beaten track, the Park Glacier boasts an exceptionally beautiful and varied€”if long€”approach.  That characteristic makes this a rare wilderness experience among moderate routes on any Cascades volcano.  The route finishes with a narrow snow arÃªte that is decidedly unlike most other glacier routes, further distinguishing this climb from others on Baker.  The Park Glacier is a route less traveled, reason enough to go, but it offers the alpinist exciting and varied terrain in the bargain.""  Routefinding can be tricky on this route.  Start early AM for best snow conditions.  Bring wands to mark the return route.  Mt. Baker set the US snowfall record in 1999 - 95 feet of snow in one year!","Climbs in the Cascades Vol. 2 by Nelson and Potterfield
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey ",,USFS Mt. Baker Ranger Station: 206-856-5700,
Mt. Baker,Easton Glacier,Washington,Cascades - North,10788,B,7500,290,6.00,two or more days,Summer-Autumn,Yes,none,up to 35 degrees,No,Yes,Snow,"Mt. Baker reclaimed the world record for single season snowfall in 1998-99 95 FEET, taking it from Rainier.  Next to Rainier, Baker is the most glaciated peak in the lower 48 states.  Easton is the most moderate route on the peak, and it's long with moderate crevasse danger.","Summit Guide to the Cascade Volcanoes by Jeff Smoot
Climbs in the North Cascades by Nelson and Potterfield
Cascade Alpine Guide: Rainy Pass to Fraser River  by Fred Beckey",,Glacier Public Service Center: (360) 599-2714,
Mt. Baker,Coleman-Deming Glacier,Washington,Cascades - North,10788,C,7000,310,8.00,two or more days,Summer-Autumn,Yes,none,up to 35 degrees,No,Yes,Snow,"Mt. Baker reclaimed the world record for single season snowfall in 1998-99 - 95 FEET, taking it from Rainier.  Next to Rainier, Baker is the most glaciated peak in the lower 48 states.  This is a fairly long route with moderate crevasse risk.  Camping on the edge of the Coleman Glacier is spectacular!  The lower camp is best, before you get onto the glacier.  Fit, small  teams can do this route car to car in a day.","Summit Guide to the Cascade Volcanoes by Jeff Smoot
Climbs in the North Cascades by Nelson and Potterfield
Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey",,Glacier Public Service Center (360) 599-2714,
Banshee Peak,Panhandle Gap,Washington,Mt. Rainier Nat. Park,7400,A,3600,180,4.00,one day,Summer-Autumn,Yes,3rd Class,,No,No,Rock,"Banshee Peak is unmarked on most maps but is a prominent satellite peak located just east of Mt. Rainier and Little Tahoma.  Banshee lies roughly east along the crest from the Panhandle Gap and is the high point before reaching the Cowlitz Chimneys to the east.  Banshee's southern and western slopes are relatively open and gentle, but its north side drops away steeply to the top of the Sarvant Glacier.  This area makes a great trip in the late season for the fall colors. ","Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey
Climbing Washingtons Mountains by Jeff Smoot",,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334
Mt. Rainer NP (after hours) Lewis County S&R: 360-740-1105",
Barrier Peak,Governor's Ridge,Washington,Mt. Rainier Nat. Park,6614,B,3800,160,3.50,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"Barrier Peak, along with Governors Ridge and Tamanos Mountain, is one of the high peaks which rings the valley containing Owyhigh Lakes. It lies within Mount Rainier National Park and is connected via a long ridge with Governors Ridge. As such, an ascent of Barrier Peak is often combined with one of Governors Ridge as well. Barrier Peak provides great views of the nearby peaks such as Tamanos, Governors Ridge, the Cowlitz Chimneys, Banshee Peak, and, of course, Mount Rainier. The Goat Rocks Wilderness, Mount Adams, and Mount Saint Helens are easily viewable from the summit as well. ",,http://goo.gl/gOaUxE,"Mount Rainier National Park 55210 238th Avenue East Ashford, WA 98304 360-569-2211",http://www.summitpost.org/barrier-peak/612132
Mt. Berge and Mt. Buck,Buck Creek Trail / High Pass,Washington,Cascades - North,7948,B,5200,300,6.00,two or more days,Summer-Autumn,No,4th Class,up to 35 degrees,Yes,No,Snow and Rock,Mt. Berge is a steep granite peak just east of the crest in the North Cascades.  It's lesser known due to it's sub-8000 ft. elevation.  ,Cascade Alpine Guide volume 2 by Fred Beckey,http://ims.er.usgs.gov/gda_services/download?item_id=5403380&quad=Clark%20Mountain&state=WA&grid=7.5X7.5&series=Map%20GeoPDF,"Mt. Baker-Snoqualmie National Forest 425/775-9702
North Cascades Natl Park Service Complex Headquarters & Mount Baker R.D. 810 State Route 20, Sedro Wooley, WA 98284 360/856-5700
North Cascades Natl Park Complex Wilderness Info Center, 7280 Ranger Station Road, Marblemount, WA 98267 360/873-4500",http://www.summitpost.org/mount-berge/664777
Bighorn Peak,South Face,Washington,Cascades - South,7960,B,3400,160,3.50,two or more days,Summer-Autumn,No,4th Class,up to 35 degrees,Yes,No,Rock,"Big Horn is the largest of the ""horn"" rock formations leading W from Mount Curtis Gilbert.  This area is in the Goat Rocks area in southern WA, between Mts. Adams and Rainier.  Other peaks on that ridge line are Little Horn, Black Thumb and Goat Citadel.  The climb itself involves ascending a chimney system on the South face (many ledges, class 3).  The final summit pitch according to Becky is a ""difficult"" 10-ft. vertical crack.  This area is in the Goat Rocks Wilderness Area, and it's called that for a reason.  Might want to bring binoculars for mountain goat watching.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,,"Gifford Pinchot NF HQ 360-891-5000, USFS Packwood Office 360-497-1100",
Black Peak,NE Ridge Route,Washington,Cascades - Central,8970,D,4200,330,7.00,two or more days,Spring-Summer,Yes,4th Class,between 35 and 50 degrees,No,No,Rock,"This is a prominent peak very close to Rainy Pass in the North Cascades.  Beckey calls the NE route €œmore technical route than the normal way, but not forbidding; the ridge is exposed class 3 and 4 with one class 5 pitch.""",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,,,
Black Peak,South Route,Washington,Cascades - Central,8970,B,4200,330,7.00,two or more days,Spring-Summer,Yes,3rd Class,between 35 and 50 degrees,No,No,Snow,This is a prominent peak very close to Rainy Pass in the North Cascades.  Beckey calls the South route €œa satisfying ascent of no technical difficulty to a fine vantage height.€ù ,Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,,none,
Mt. Blum,South Ridge ,Washington,Cascades - North,7680,B,4800,300,6.50,two or more days,Summer-Autumn,Yes,4th Class,up to 35 degrees,No,No,Snow and Rock,"Mt. Blum is a mountain with a large mass for its altitude and big local relief. It is located 4 miles from Baker Lake and 7.5 miles SE of Mt. Shuksan. It is the most prominent mountain between Shuksan, Whitehorse Mt, and the Pickett Range. ",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,,USFS Glacier Public Service Center: (360) 599-2714,http://www.cascadeclimbers.com/threadz/showflat.php?Cat=&Board=UBB2&Number=383063
Bonanza Peak,Mary Green Glacier ,Washington,Cascades - Central,9511,D,6300,340,8.00,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,Yes,Yes,Snow and Rock,"Beckey writes:  ""It's sheer size and height [and] treacherous  couloirs and snow conditions make it an ascent of character.""  Wow!  Sign me up!  A long drive and the Lake Chelan ferry make the approach logistics as fun as the climb.  This is one of the highest non-volcanic peaks in the North Cascades.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,,none,
Boulder Ridge,Marmot Pass,Washington,- Olympic Range,6852,B,4500,200,5.00,two or more days,Summer-Autumn,No,3rd Class,up to 35 degrees,No,No,Scrambling,"Boulder Ridge is the first ""big bump"" on the ridge extending south and east of Marmot Pass, which is at the head of the Quilcene River valley in Olympic National Forest.  This is a seldom climbed peak.",Climbers Guide to the Olympic Mountains (3rd edition) ,,Olympic National Forest Headquarters 360-956-2402,
Mt. Bretherton,Lena Lakes,Washington,- Olympic Range,5960,A,5300,175,3.50,two or more days,Summer-Autumn,No,4th Class,,No,No,Scrambling,"Like a lot of Olympic Range climbs, this on has the shockingly low trailhead elevation of about 600 feet.  This is a moderate approach into beautiful alpine basins - the scenery is just a big a draw as the easy scramble climb.",Climbers Guide to the Olympic Mountains by Olympic Mountain Rescue,,"Olympic National Park, 360-452-4501",
The Brothers,South Couloir / Lena Lake,Washington,- Olympic Range,6800,B,6100,170,3.50,two or more days,Summer-Autumn,No,4th Class,between 35 and 50 degrees,No,No,Snow,"The twin peaked mountain is one of the most conspicuous landmarks visible from Puget Sound.  This can be a ""double summit"" day for the ambitious party, tagging both North and South Brother, adding 2+ hours to the day.  Tricky routefinding might make for a long outing.  Be prepared for sustained 35 degree snow climbing, with a 45 degree step near the top.  Rope, axe and crampons are required.",Climbers Guide to the Olympic Mountains by Olympic Mountain Rescue,,"US Forest Service, Hoodsport: 360-877-5254",
Brown Peak - Slide Mountain,Palisade Lake Trail,Washington,Mt. Rainier Nat. Park,6962,A,4100,220,4.00,one day,Summer-Autumn,No,3rd Class,,No,No,Scrambling,"Brown Peak and Slide Mountain are scrambling peaks located on the NE side of Mt. Rainier. From the White River entrance, drive about 13 miles to Sunrise Point (6100') and park. Take the Palisades Lake Trail approximately 3.3 miles to its end and follow the bovious boot path to the summit of Brown Peak. Continue north on the ridge to the summit of Slive Mountain. A strong party might also be able to scramble Marcus Peak and the Palisades. ",Guide to 100 Peaks at Mt. Rainier,,,
Mt. Buckindy,North Side,Washington,Cascades - Central,7320,C,6500,280,6.00,two or more days,Summer-Autumn,Yes,4th Class,up to 35 degrees,No,No,Snow,Mount Buckindy is located at the head of Kindy Creek in the northern Washington Cascades. Glaciers are present on the mountain's north and east flanks. The standard summit route is a Class 4 scramble via the north slopes. The southwest ridge contains a series of jagged pinnacles (Buckindy Crags) that offer some Class 5 routes.,Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=Mt.+Buckindy+Washington+&sll=47.653681,-123.140817&sspn=0.01775,0.045233&ie=UTF8&ll=48.352627,-121.206107&spn=0.017511,0.045233&t=p&z=15&iwloc=addr",not known,
Mt. Buckner,SW Route ,Washington,Cascades - Central,9080,C,5500,310,7.00,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,Yes,Yes,Snow and Rock,"One of the coveted 9,000 foot peaks of the North Cascades, Buckner is much more of a mountaineer's summit than Sahale.  It is not a difficult climb when done with caution, but some loose rock is unpleasant.  This is a more moderate route than the classic North Face.  Camping high on the beautiful Sahale Arm Area adds to the attraction.  This route has a rather long approach and climb day.","Climbs in the Cascades Vol. 1 by Nelson and Potterfield
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,Marblemount National Park Service Ranger Station 360-873-4590,
Mt. Buckner,North Face,Washington,Cascades - Central,9080,D,5500,310,7.00,two or more days,Summer-Autumn,Yes,4th Class,between 35 and 50 degrees,Yes,Yes,Snow,"This route has a long approach, glacier crossing, then an 1,300 ft. ascent of snow and ice chutes up to 50 degrees.  Teams need be fit, efficient, and travel fast.  Nelson and Potterfield call the route ""one of an elite group of snow and iceClimbs in the range.""  Get a two for one summit on the route - you can summit Sahale Peak, then rap off it to get to the traverse to Buckner's North Face.","Climbs in the Cascades Vol. 1 by Nelson and Potterfield
Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",,Marblemount National Park Service Ranger Station 360-873-4590,
Cadet Peak,West Rib,Washington,Cascades - Central,7186,B,,250,6.50,two or more days,Summer-Autumn,No,3rd Class,up to 35 degrees,No,No,Scrambling,Cadet Peak is the second-highest point in the Monte Cristo Group.,Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,http://g.co/maps/393fs,Mt Baker / Snoqualmie Nat. Forest: (800) 627-0062,http://www.summitpost.org/cadet-peak-via-glacier-basin/210327
